Number in prisons/jails 2015,"Youth, 2015","Jails in Indian Country, midyear 2016, adult and youth","Civil Commitment, sex",Pretrial Eval,NGRI,IST,Federal ,ICE,Military ,Total ,"State population, women, yearend 2015 estimate","Incarceration rate, women"
"4,300",108,,,,,,267,,,"4,675","2,504,558",187
600,24,1,,,,,32,,,657,"352,677",186
"5,800",120,142,,,,,287,,,"6,349","3,459,129",184
"2,800",66,,,,,,143,,,"3,009","1,517,692",198
"15,100","1,179",,,,,,"1,026",,,"17,305","19,691,092",88
"3,800",135,17,,,,,122,,,"4,074","2,732,980",149
"1,100",18,,,,,,94,,,"1,212","1,833,168",66
500,15,,,,,,29,,,544,"489,178",111
100,15,,,,,,377,,,492,"355,141",139
"15,100",351,,,,,,"1,204",,,"16,655","10,446,798",159
"8,900",96,,,,,,496,,,"9,492","5,259,816",181
700,18,,,,,,75,,,793,"710,028",112
"1,600",72,18,,,,,45,,,"1,735","832,080",209
"4,400",108,,,,,,562,,,"5,070","6,520,697",78
"5,200",282,,,,,,203,,,"5,685","3,358,725",169
"1,400",90,,,,,,232,,,"1,722","1,572,799",110
"1,800",54,,,,,,141,,,"1,995","1,459,368",137
"5,100",96,,,,,,216,,,"5,412","2,247,395",241
"3,600",84,,,,,,196,,,"3,880","2,388,287",163
500,9,,,,,,39,,,548,"678,462",81
"1,900",78,,,,,,361,,,"2,339","3,096,807",76
"1,200",54,,,,,,132,,,"1,386","3,499,946",40
"4,600",360,1,,,,,352,,,"5,313","5,042,256",105
"1,600",153,12,,,,,138,,,"1,903","2,763,604",69
"2,300",45,8,,,,,129,,,"2,482","1,539,723",161
"4,900",144,,,,,,420,,,"5,464","3,097,308",176
800,39,121,,,,,87,,,"1,047","515,307",203
900,138,,,,,,101,,,"1,139","953,411",120
"2,300",123,3,,,,,113,,,"2,539","1,451,199",175
500,27,,,,,,28,,,555,"672,872",83
"2,200",30,,,,,,198,,,"2,428","4,575,562",53
"1,800",63,41,,,,,129,,,"2,033","1,050,425",194
"4,800",294,,,,,,707,,,"5,801","10,160,682",57
"5,000",69,,,,,,672,,,"5,741","5,184,905",111
400,30,77,,,,,65,,,572,"368,538",155
"7,900",255,,,,,,345,,,"8,500","5,921,931",144
"5,300",84,4,,,,,170,,,"5,558","1,975,360",281
"2,400",135,16,,,,,109,,,"2,660","2,049,351",130
"7,600",339,,,,,,467,,,"8,406","6,526,921",129
100,24,,,,,,33,,,157,"543,334",29
"2,800",93,,,,,,285,,,"3,178","2,535,450",125
800,60,55,,,,,77,,,992,"427,554",232
"6,500",78,,,,,,504,,,"7,082","3,393,955",209
"22,300",759,,,,,,"1,689",,,"24,748","13,922,406",178
"1,600",75,,,,,,80,,,"1,755","1,500,448",117
200,3,,,,,,20,,,223,"316,576",70
"6,300",144,,,,,,401,,,"6,845","4,263,330",161
"3,400",126,89,,,,,190,,,"3,805","3,615,699",105
"1,400",147,,,,,,114,,,"1,661","927,908",179
"3,100",111,3,,,,,136,,,"3,350","2,903,054",115
600,57,10,,,,,49,,,716,"286,707",250
,,,,,,,0,,,,,
,,,,,,,9,,,,,
,,,,,,,1,,,,,
,,,,,,,384,,,,,
,,,,,,,12,,,,,
"189,900","7,297",680,7,,,,"14,493","5,729",,"218,106","163,492,599",133